loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,applicant_age
2914,4,Not Graduate,Yes,1250000.0,4550000.0,20,612,1400000,0,1600000,300000,Approved,42
2915,3,Not Graduate,Yes,24750000.0,127750000.0,20,412,17300000,18500000,22300000,9800000,Approved,56
2916,1,Graduate,No,21000000.0,76300000.0,20,342,4000000,11000000,18200000,6600000,Rejected,48
2917,3,Not Graduate,Yes,1250000.0,5950000.0,20,674,500000,600000,1400000,400000,Approved,52
2918,2,Graduate,No,4250000.0,19950000.0,20,452,4900000,2700000,4500000,1800000,Approved,64
2919,1,Not Graduate,Yes,16250000.0,64050000.0,20,572,11900000,8600000,19200000,4500000,Approved,63
2920,1,Not Graduate,No,22250000.0,99400000.0,20,559,21600000,5500000,26200000,7900000,Approved,58
2921,1,Not Graduate,No,1000000.0,4900000.0,20,300,200000,100000,1500000,500000,Approved,56
2922,3,Not Graduate,No,14250000.0,43050000.0,20,300,7900000,11000000,20000000,5500000,Rejected,60
2923,0,Not Graduate,Yes,24000000.0,83300000.0,20,300,25200000,15800000,27000000,8300000,Rejected,44
2924,0,Graduate,Yes,21250000.0,70000000.0,20,636,13300000,7400000,17700000,8900000,Approved,65
2925,0,Graduate,No,10000000.0,40250000.0,20,300,4500000,2800000,8400000,5900000,Rejected,66
2926,2,Not Graduate,Yes,15750000.0,63350000.0,20,521,7900000,8200000,13200000,5400000,Approved,55
2927,3,Graduate,Yes,10000000.0,51450000.0,20,300,3000000,6200000,8900000,4200000,Rejected,46
2928,4,Graduate,No,23500000.0,112700000.0,20,748,27600000,11800000,19500000,8600000,Approved,41
2929,5,Graduate,Yes,10250000.0,54250000.0,20,686,10500000,1100000,15200000,3600000,Approved,42
2930,4,Graduate,Yes,2750000.0,15400000.0,20,365,1000000,700000,4300000,1500000,Rejected,60
2931,3,Not Graduate,No,21750000.0,86800000.0,20,300,25300000,8700000,31100000,4300000,Rejected,65
2932,4,Graduate,Yes,12250000.0,44800000.0,20,541,200000,4900000,14700000,7000000,Approved,50
2933,1,Not Graduate,Yes,7000000.0,31850000.0,20,360,2400000,4200000,10400000,3000000,Rejected,43
2934,0,Graduate,No,24000000.0,81200000.0,20,300,1000000,17600000,22200000,8800000,Rejected,47
2935,3,Graduate,Yes,17250000.0,66500000.0,20,300,4200000,3700000,19400000,4900000,Rejected,52
2936,2,Not Graduate,Yes,5750000.0,28350000.0,20,354,1800000,3100000,4600000,3100000,Approved,50
2937,2,Not Graduate,No,17000000.0,74550000.0,20,508,7800000,7000000,25900000,9600000,Approved,54
2938,1,Not Graduate,Yes,5500000.0,18900000.0,20,491,5900000,0,4800000,1200000,Approved,62
2939,2,Not Graduate,No,14750000.0,69300000.0,20,300,7800000,1500000,19700000,8500000,Rejected,57
2940,1,Graduate,Yes,17500000.0,71050000.0,20,576,11600000,13100000,17100000,9000000,Approved,58
2941,1,Graduate,Yes,24000000.0,119350000.0,20,678,26100000,19000000,20800000,12400000,Approved,61
2942,0,Graduate,No,16250000.0,50750000.0,20,605,9000000,11900000,20800000,3400000,Approved,59
2943,2,Not Graduate,Yes,9500000.0,26600000.0,20,638,1700000,5200000,9200000,5600000,Approved,69
2944,2,Graduate,No,23500000.0,87850000.0,20,682,19400000,2100000,22300000,5900000,Approved,57
2945,0,Not Graduate,No,5250000.0,28700000.0,20,404,3900000,3800000,5900000,1700000,Approved,61
2946,1,Not Graduate,Yes,21250000.0,91700000.0,20,661,22800000,6400000,32500000,12700000,Approved,42
2947,5,Graduate,Yes,9500000.0,42000000.0,20,499,6200000,5300000,10300000,4200000,Approved,57
2948,1,Not Graduate,Yes,8500000.0,33950000.0,20,680,3500000,6400000,10300000,4800000,Approved,40
2949,1,Graduate,Yes,14000000.0,40950000.0,20,557,4500000,800000,19000000,3900000,Approved,64
2950,0,Graduate,Yes,21250000.0,117950000.0,20,333,18800000,8900000,29000000,12200000,Rejected,50
2951,4,Not Graduate,Yes,5250000.0,19250000.0,20,300,100000,0,6600000,2000000,Rejected,45
2952,4,Graduate,No,1000000.0,5250000.0,20,696,300000,0,1600000,600000,Approved,62
2953,4,Not Graduate,No,19750000.0,110250000.0,20,300,14300000,3800000,23800000,7500000,Rejected,52
2954,5,Not Graduate,No,17250000.0,67200000.0,20,300,10000000,5000000,24900000,9000000,Rejected,45
2955,0,Not Graduate,Yes,4500000.0,13650000.0,20,614,2200000,700000,3500000,1200000,Approved,57
2956,0,Graduate,Yes,3000000.0,11200000.0,20,323,2100000,600000,2400000,1200000,Rejected,45
2957,3,Not Graduate,No,9000000.0,34300000.0,20,504,600000,1300000,7500000,2200000,Approved,65
2958,1,Graduate,No,18000000.0,79800000.0,20,401,15000000,8700000,21300000,9500000,Approved,58
2959,5,Graduate,No,23500000.0,76300000.0,20,700,13300000,11700000,24800000,6800000,Approved,43
2960,5,Graduate,No,22500000.0,84700000.0,20,496,12400000,5500000,18100000,11900000,Approved,65
2961,1,Not Graduate,Yes,2500000.0,7350000.0,20,643,2900000,1300000,2200000,1400000,Approved,52
2962,3,Not Graduate,No,14000000.0,69650000.0,20,401,14000000,4200000,16100000,4500000,Approved,67
2963,1,Graduate,No,2250000.0,9100000.0,20,300,400000,700000,2900000,900000,Rejected,47
2964,5,Not Graduate,Yes,22500000.0,66850000.0,20,390,11300000,800000,18300000,4900000,Rejected,56
2965,2,Not Graduate,No,7750000.0,31500000.0,20,742,5000000,5600000,7100000,4000000,Approved,45
2966,1,Not Graduate,Yes,20000000.0,72450000.0,20,420,1000000,11700000,23200000,11300000,Approved,69
2967,4,Not Graduate,Yes,8750000.0,39550000.0,20,724,1400000,3800000,10100000,3700000,Approved,43
2968,4,Graduate,No,9750000.0,44100000.0,20,403,8200000,2500000,12300000,4500000,Approved,66
2969,2,Graduate,No,24250000.0,120750000.0,20,499,10600000,7600000,24800000,5900000,Approved,51
2970,4,Graduate,No,11250000.0,55300000.0,20,300,8900000,6900000,15200000,4400000,Rejected,42
2971,5,Not Graduate,No,17000000.0,86800000.0,20,471,13000000,13500000,23300000,4800000,Approved,58
2972,2,Not Graduate,No,15750000.0,65100000.0,20,722,9900000,11900000,16100000,7500000,Approved,52
2973,2,Graduate,No,12250000.0,64750000.0,20,342,12900000,5000000,10200000,5800000,Rejected,51
2974,0,Graduate,No,12000000.0,65100000.0,20,468,12300000,5900000,16800000,4000000,Approved,40
2975,5,Graduate,No,18750000.0,55300000.0,20,308,7800000,6500000,22400000,8400000,Rejected,63
2976,5,Not Graduate,No,13000000.0,48650000.0,20,300,7800000,4500000,12000000,7000000,Rejected,58
2977,3,Not Graduate,Yes,23500000.0,108150000.0,20,723,22800000,17700000,19300000,9000000,Approved,69
2978,5,Not Graduate,No,8000000.0,35000000.0,20,460,2900000,3800000,8600000,3500000,Approved,56
2979,1,Not Graduate,Yes,9000000.0,46200000.0,20,396,8900000,3600000,13900000,2900000,Rejected,46
2980,1,Not Graduate,Yes,8500000.0,25200000.0,20,591,4300000,6600000,11500000,3900000,Approved,45
2981,3,Graduate,No,5250000.0,28700000.0,20,604,900000,2900000,4900000,1000000,Approved,65
2982,1,Graduate,No,18000000.0,52850000.0,20,300,2600000,8300000,21700000,8200000,Rejected,62
2983,5,Graduate,No,11250000.0,59150000.0,20,305,2700000,2500000,10700000,5600000,Rejected,50
2984,0,Graduate,Yes,6500000.0,31500000.0,20,465,6800000,0,8400000,3400000,Approved,50
2985,4,Graduate,Yes,16000000.0,75950000.0,20,300,16500000,8200000,15100000,5700000,Rejected,57
2986,0,Graduate,No,16000000.0,87850000.0,20,478,16100000,2900000,18100000,6400000,Approved,67
2987,3,Graduate,No,7750000.0,39200000.0,20,715,3600000,4600000,6600000,4200000,Approved,51
2988,2,Graduate,No,4500000.0,18550000.0,20,529,1000000,1400000,5800000,900000,Approved,58
2989,1,Graduate,Yes,23250000.0,66500000.0,20,539,24000000,11500000,35100000,9000000,Approved,66
2990,5,Not Graduate,Yes,16250000.0,48300000.0,20,486,13000000,5500000,19400000,8100000,Approved,68
2991,1,Not Graduate,No,7750000.0,23100000.0,20,687,4000000,4200000,12300000,4300000,Approved,55
2992,3,Not Graduate,No,5750000.0,29750000.0,20,407,3600000,1400000,6200000,1300000,Approved,46
2993,2,Graduate,No,1250000.0,5950000.0,20,300,300000,300000,1800000,700000,Rejected,53
2994,0,Not Graduate,Yes,9250000.0,32550000.0,20,381,8300000,1000000,8900000,1900000,Rejected,54
2995,4,Not Graduate,Yes,21500000.0,74900000.0,20,326,6200000,2700000,28000000,12800000,Rejected,59
2996,4,Graduate,No,6500000.0,29750000.0,20,625,600000,3800000,10400000,2600000,Approved,69
2997,1,Not Graduate,Yes,17750000.0,63000000.0,20,327,6600000,13200000,19300000,9300000,Rejected,54
2998,4,Not Graduate,Yes,17500000.0,69300000.0,20,532,9300000,5300000,14500000,7300000,Approved,57
2999,5,Not Graduate,No,20750000.0,61950000.0,20,300,19600000,13200000,22500000,9800000,Rejected,48
3000,3,Graduate,Yes,17000000.0,83650000.0,20,415,18800000,2800000,18800000,6700000,Approved,66
3001,1,Not Graduate,Yes,24750000.0,89950000.0,20,300,15600000,18800000,29500000,11800000,Rejected,45
3002,2,Graduate,No,12750000.0,38500000.0,20,300,7900000,2900000,10700000,5900000,Rejected,62
3003,4,Graduate,Yes,8750000.0,37450000.0,20,733,200000,2300000,8400000,2000000,Approved,61
3004,3,Graduate,Yes,10750000.0,44800000.0,20,300,3300000,1100000,11900000,3800000,Rejected,68
3005,0,Graduate,Yes,13250000.0,70700000.0,20,711,500000,800000,16500000,6200000,Approved,68
3006,5,Graduate,Yes,16000000.0,76650000.0,20,549,15700000,500000,17200000,3800000,Approved,41
3007,0,Graduate,No,23250000.0,95200000.0,20,479,4500000,14300000,26900000,5000000,Approved,51
3008,3,Graduate,No,2750000.0,10850000.0,20,300,1500000,1000000,4000000,1000000,Rejected,47
3009,2,Not Graduate,No,17750000.0,94500000.0,20,300,20700000,8300000,24500000,4200000,Rejected,51
3010,4,Not Graduate,No,2750000.0,11550000.0,20,300,1400000,1000000,4200000,700000,Rejected,51
3011,2,Graduate,No,4750000.0,18200000.0,20,746,4300000,100000,6200000,2400000,Approved,64
3012,0,Not Graduate,No,3250000.0,13650000.0,20,540,3600000,1700000,4700000,800000,Approved,58
3013,5,Graduate,No,18750000.0,79800000.0,20,300,15100000,1200000,16100000,10700000,Rejected,56
3014,4,Not Graduate,No,6000000.0,24500000.0,20,389,2300000,0,9600000,2900000,Rejected,67
3015,4,Graduate,Yes,6250000.0,28000000.0,20,314,4000000,3000000,9000000,3000000,Rejected,68
3016,4,Graduate,No,18750000.0,56700000.0,20,300,10800000,14300000,14900000,5800000,Rejected,51
3017,3,Not Graduate,No,23250000.0,128100000.0,20,300,22000000,14600000,32900000,8800000,Rejected,68
3018,5,Not Graduate,No,8250000.0,35000000.0,20,339,2000000,500000,7200000,2800000,Rejected,49
3019,4,Not Graduate,Yes,14250000.0,48650000.0,20,625,1600000,3100000,15900000,7100000,Approved,49
3020,4,Not Graduate,No,750000.0,2100000.0,20,300,-100000,400000,600000,200000,Rejected,46
3021,2,Not Graduate,Yes,3000000.0,15750000.0,20,405,100000,1100000,2700000,1400000,Approved,62
3022,4,Graduate,Yes,20500000.0,103600000.0,20,307,6700000,6700000,21400000,11000000,Rejected,66
3023,3,Not Graduate,No,13750000.0,43400000.0,20,430,800000,900000,19300000,7300000,Approved,40
3024,4,Not Graduate,No,4500000.0,25200000.0,20,346,3000000,1100000,7200000,2000000,Rejected,55
3025,0,Not Graduate,No,8750000.0,39900000.0,20,687,3700000,2100000,10000000,2700000,Approved,64
3026,4,Not Graduate,Yes,15000000.0,46200000.0,20,305,7300000,5900000,16500000,7100000,Rejected,55
3027,0,Graduate,Yes,6750000.0,33950000.0,20,401,1300000,1300000,7100000,1600000,Approved,57
3028,4,Not Graduate,Yes,14750000.0,72450000.0,20,675,11700000,7900000,21000000,8500000,Approved,47
3029,1,Not Graduate,Yes,5250000.0,14700000.0,20,404,3400000,800000,6400000,1500000,Approved,52
3030,0,Not Graduate,Yes,5000000.0,18200000.0,20,300,1900000,1500000,5000000,1500000,Rejected,45
3031,5,Not Graduate,No,22500000.0,120050000.0,20,703,22500000,11900000,32200000,10100000,Approved,52
3032,1,Not Graduate,Yes,19000000.0,65800000.0,20,300,20900000,4700000,24700000,10000000,Rejected,58
3033,3,Graduate,No,1250000.0,5250000.0,20,300,1400000,200000,1800000,600000,Rejected,65
3034,1,Graduate,No,15750000.0,66500000.0,20,523,14600000,8100000,16000000,4200000,Approved,65
3035,0,Graduate,Yes,7750000.0,24850000.0,20,348,3800000,1100000,12200000,4300000,Rejected,47
3036,1,Not Graduate,No,2750000.0,9100000.0,20,708,1800000,1900000,2700000,600000,Approved,49
3037,4,Graduate,Yes,9750000.0,50050000.0,20,327,1000000,4600000,9100000,2900000,Rejected,52
3038,4,Not Graduate,Yes,21750000.0,98700000.0,20,398,11800000,9900000,19800000,8500000,Rejected,61
3039,4,Not Graduate,Yes,16000000.0,83650000.0,20,300,16200000,11600000,24900000,7000000,Rejected,57
3040,2,Graduate,Yes,500000.0,2800000.0,20,333,100000,200000,600000,300000,Rejected,59
3041,1,Graduate,No,6000000.0,20300000.0,20,300,1700000,2500000,8400000,3100000,Rejected,65
3042,3,Not Graduate,No,22250000.0,123200000.0,20,744,17100000,5600000,27700000,9800000,Approved,40
3043,3,Not Graduate,No,15250000.0,51800000.0,20,342,6700000,3500000,17900000,6100000,Rejected,63
3044,5,Not Graduate,Yes,19000000.0,89950000.0,20,457,12900000,13600000,29100000,4900000,Approved,40
3045,3,Not Graduate,No,2250000.0,8400000.0,20,551,700000,0,2000000,400000,Approved,68
3046,2,Not Graduate,Yes,17750000.0,68950000.0,20,740,13900000,3900000,22200000,4000000,Approved,57
3047,2,Not Graduate,Yes,12500000.0,51100000.0,20,658,4400000,3500000,17300000,3100000,Approved,47
3048,4,Graduate,Yes,5000000.0,25900000.0,20,446,600000,2300000,4900000,2500000,Approved,57
3049,4,Graduate,Yes,6500000.0,21700000.0,20,300,2500000,2200000,8900000,3400000,Rejected,60
3050,2,Graduate,Yes,17500000.0,52150000.0,20,345,9900000,8800000,14000000,10200000,Rejected,54
3051,3,Graduate,No,9750000.0,34300000.0,20,454,10900000,7300000,7700000,3300000,Approved,68
3052,3,Graduate,No,21000000.0,114100000.0,20,359,22700000,12600000,32400000,8700000,Approved,56
3053,0,Graduate,Yes,500000.0,2100000.0,20,702,500000,0,400000,200000,Approved,58
3054,2,Not Graduate,Yes,4750000.0,23450000.0,20,743,5600000,3600000,6300000,1600000,Approved,46
3055,2,Not Graduate,Yes,23000000.0,115500000.0,20,724,3900000,9700000,31200000,6600000,Approved,51
3056,3,Not Graduate,Yes,750000.0,1750000.0,20,300,800000,200000,1200000,100000,Rejected,45
3057,5,Graduate,No,15750000.0,63350000.0,20,440,5400000,10900000,22400000,8600000,Approved,65
3058,2,Not Graduate,No,15250000.0,82250000.0,20,360,9000000,9500000,12400000,3400000,Rejected,62
3059,3,Graduate,Yes,19500000.0,89600000.0,20,373,13600000,7100000,20800000,9200000,Rejected,69
3060,0,Graduate,Yes,5000000.0,23450000.0,20,311,4900000,2200000,7200000,2600000,Rejected,54
3061,4,Not Graduate,No,4750000.0,19600000.0,20,682,2700000,3300000,7100000,2400000,Approved,60
3062,2,Not Graduate,Yes,8250000.0,33600000.0,20,746,9900000,900000,12100000,4900000,Approved,60
3063,0,Not Graduate,Yes,23750000.0,91000000.0,20,582,22500000,15600000,20400000,9300000,Approved,55
3064,0,Graduate,Yes,8750000.0,48650000.0,20,300,10300000,100000,8700000,2700000,Rejected,68
3065,5,Graduate,No,11000000.0,55300000.0,20,551,4100000,6300000,17100000,4100000,Approved,63
3066,2,Not Graduate,No,5000000.0,14000000.0,20,352,4900000,1500000,5400000,1300000,Rejected,55
3067,3,Not Graduate,No,23000000.0,68250000.0,20,592,18300000,9900000,19500000,13700000,Approved,56
3068,1,Not Graduate,No,5500000.0,17500000.0,20,605,1100000,2500000,6700000,3200000,Approved,53
3069,1,Not Graduate,No,4750000.0,24850000.0,20,684,3900000,2300000,5800000,1400000,Approved,52
3070,5,Graduate,Yes,21750000.0,64400000.0,20,300,18800000,3200000,24600000,12000000,Rejected,65
3071,3,Graduate,Yes,24250000.0,68950000.0,20,513,16700000,2200000,36200000,5200000,Approved,68
3072,3,Graduate,No,23500000.0,71050000.0,20,499,19600000,6700000,36100000,10000000,Approved,41
3073,4,Not Graduate,Yes,20000000.0,81200000.0,20,588,10900000,12100000,19900000,5400000,Approved,68
3074,5,Not Graduate,No,2500000.0,7000000.0,20,374,2700000,1800000,2200000,700000,Rejected,42
3075,5,Not Graduate,No,13250000.0,51100000.0,20,705,4200000,1600000,11200000,7400000,Approved,69
3076,3,Graduate,Yes,3500000.0,18900000.0,20,300,1700000,1300000,2900000,800000,Rejected,44
3077,2,Graduate,Yes,4000000.0,13300000.0,20,382,3200000,1400000,5400000,1100000,Rejected,41
3078,3,Graduate,Yes,8500000.0,29750000.0,20,434,4200000,4700000,6800000,3700000,Approved,64
3079,3,Graduate,No,19500000.0,100450000.0,20,300,7200000,9500000,20100000,11300000,Approved,64
3080,4,Not Graduate,No,17750000.0,69650000.0,20,702,4700000,3200000,19700000,7600000,Approved,49
3081,1,Not Graduate,Yes,15000000.0,45850000.0,20,300,9900000,2200000,13700000,4900000,Rejected,60
3082,3,Not Graduate,Yes,20500000.0,101150000.0,20,300,4400000,14700000,29400000,6800000,Rejected,58
3083,4,Graduate,No,9750000.0,39900000.0,20,717,3800000,1100000,13600000,3200000,Approved,65
3084,5,Not Graduate,Yes,21000000.0,61600000.0,20,300,13400000,14500000,24500000,7900000,Rejected,58
3085,4,Graduate,No,24250000.0,67900000.0,20,648,6400000,13700000,20300000,12800000,Approved,58
3086,1,Not Graduate,Yes,20750000.0,92050000.0,20,380,22800000,11000000,33200000,8000000,Rejected,61
3087,4,Graduate,No,6250000.0,34650000.0,20,300,5500000,2600000,6100000,2300000,Rejected,46
3088,3,Graduate,No,15250000.0,84000000.0,20,568,4100000,3400000,16600000,6800000,Approved,53
3089,3,Not Graduate,No,12500000.0,45500000.0,20,309,2900000,3400000,18200000,7200000,Rejected,56
3090,3,Not Graduate,No,23750000.0,77700000.0,20,421,4400000,8600000,24400000,10500000,Approved,60
3091,2,Graduate,No,14250000.0,71750000.0,20,300,5800000,4300000,21200000,4900000,Rejected,42
3092,1,Graduate,Yes,12500000.0,43750000.0,20,454,4100000,100000,12200000,7400000,Approved,46
3093,4,Not Graduate,Yes,21500000.0,72100000.0,20,300,10800000,10600000,28700000,5400000,Rejected,53
3094,5,Not Graduate,No,3500000.0,18550000.0,20,628,1600000,700000,4400000,700000,Approved,41
3095,3,Graduate,No,14750000.0,74200000.0,20,326,11700000,4800000,14800000,7700000,Rejected,55
3096,4,Graduate,Yes,10250000.0,36400000.0,20,577,11900000,5900000,16400000,4400000,Approved,40
3097,3,Graduate,No,18500000.0,64750000.0,20,668,10400000,8800000,28000000,8400000,Approved,46
3098,1,Graduate,Yes,17750000.0,67550000.0,20,588,7200000,0,24300000,3600000,Approved,60
3099,5,Graduate,Yes,13250000.0,63700000.0,20,396,14600000,7900000,13400000,4000000,Rejected,46
3100,2,Not Graduate,No,16500000.0,49350000.0,20,321,10800000,11400000,20700000,6000000,Rejected,69
3101,3,Not Graduate,No,7000000.0,37100000.0,20,710,5200000,4700000,6700000,2900000,Approved,63
3102,1,Not Graduate,Yes,4000000.0,15400000.0,20,300,2500000,700000,4300000,2400000,Rejected,42
3103,0,Graduate,Yes,21250000.0,88550000.0,20,407,13000000,5100000,23900000,7100000,Approved,57
3104,1,Not Graduate,Yes,13000000.0,72450000.0,20,462,2200000,2600000,16500000,3200000,Approved,46
3105,2,Not Graduate,Yes,16000000.0,67550000.0,20,300,7200000,1800000,19100000,3900000,Rejected,53
3106,5,Graduate,No,3250000.0,10150000.0,20,300,1700000,100000,2800000,600000,Rejected,55
3107,0,Graduate,No,14000000.0,40600000.0,20,316,15000000,7400000,21800000,7500000,Rejected,69
3108,3,Graduate,Yes,22500000.0,69300000.0,20,300,8600000,9200000,25300000,6000000,Rejected,52
3109,1,Not Graduate,Yes,19500000.0,60200000.0,20,447,3700000,12700000,17400000,8500000,Approved,54
3110,4,Not Graduate,Yes,10000000.0,38500000.0,20,641,500000,4700000,10300000,3000000,Approved,48
3111,0,Graduate,Yes,1750000.0,6300000.0,20,300,1500000,1100000,2200000,300000,Rejected,40
3112,5,Graduate,Yes,18250000.0,65450000.0,20,663,6600000,8200000,20000000,5800000,Approved,40
3113,0,Not Graduate,Yes,13000000.0,53900000.0,20,525,15300000,8800000,12800000,2900000,Approved,46
3114,1,Not Graduate,No,15500000.0,63700000.0,20,300,3100000,12000000,19200000,3400000,Rejected,50
3115,4,Graduate,No,2750000.0,12600000.0,20,543,2400000,1300000,3800000,1500000,Approved,52
3116,1,Not Graduate,Yes,14000000.0,47950000.0,20,341,10100000,3700000,18500000,4200000,Rejected,47
3117,5,Graduate,Yes,8500000.0,34300000.0,20,409,3500000,2900000,8300000,2200000,Approved,43
3118,4,Graduate,No,3750000.0,17150000.0,20,300,1800000,1100000,3000000,2000000,Rejected,51
3119,2,Not Graduate,No,14500000.0,65100000.0,20,382,10900000,900000,12300000,6700000,Rejected,49
3120,4,Not Graduate,No,24500000.0,102900000.0,20,442,29100000,16700000,35900000,9000000,Approved,51
3121,5,Not Graduate,No,20750000.0,80850000.0,20,309,5500000,14300000,28400000,5500000,Rejected,48
3122,4,Graduate,Yes,1250000.0,4200000.0,20,477,0,500000,1800000,700000,Approved,58
3123,4,Graduate,No,4750000.0,21350000.0,20,312,2100000,3300000,5400000,2500000,Approved,41
3124,1,Not Graduate,Yes,24250000.0,86450000.0,20,450,13600000,14000000,35500000,6700000,Approved,54
3125,5,Not Graduate,No,4500000.0,21700000.0,20,300,3500000,2400000,6300000,1300000,Rejected,60
3126,0,Graduate,Yes,8250000.0,33950000.0,20,300,9800000,4800000,9400000,1900000,Rejected,49
3127,5,Graduate,No,2250000.0,8050000.0,20,440,1200000,1500000,2100000,900000,Approved,40
3128,5,Graduate,Yes,20500000.0,101150000.0,20,335,16500000,3000000,19400000,6800000,Approved,61
3129,1,Not Graduate,Yes,1250000.0,5950000.0,20,467,400000,100000,1400000,500000,Approved,58
3130,5,Graduate,Yes,2500000.0,9100000.0,20,514,900000,1200000,3500000,900000,Approved,42
3131,3,Not Graduate,No,17750000.0,97650000.0,20,433,8900000,7600000,19600000,6300000,Approved,61
3132,1,Graduate,Yes,500000.0,1400000.0,20,709,300000,100000,400000,200000,Approved,52
3133,2,Graduate,No,7750000.0,25550000.0,20,354,3200000,0,7200000,1500000,Rejected,41
3134,4,Graduate,No,1750000.0,8050000.0,20,538,1500000,300000,1900000,400000,Approved,45
3135,3,Not Graduate,No,4500000.0,19950000.0,20,300,4800000,0,3700000,2300000,Approved,59
3136,3,Not Graduate,Yes,21000000.0,94500000.0,20,596,15000000,8400000,27000000,12500000,Approved,57
3137,3,Graduate,No,18500000.0,61250000.0,20,300,17700000,14000000,27000000,9500000,Rejected,60
3138,2,Not Graduate,Yes,16750000.0,70700000.0,20,551,8800000,12200000,13900000,8200000,Approved,49
3139,1,Graduate,Yes,4250000.0,21000000.0,20,604,3900000,1500000,6400000,1800000,Approved,53
3140,3,Not Graduate,Yes,750000.0,2100000.0,20,365,300000,200000,1000000,200000,Rejected,57
3141,1,Graduate,Yes,9500000.0,30800000.0,20,520,5200000,4700000,12200000,3800000,Approved,53
3142,5,Graduate,Yes,3250000.0,14000000.0,20,300,3800000,1300000,3500000,1100000,Rejected,66
3143,5,Not Graduate,Yes,7750000.0,38150000.0,20,734,6100000,3700000,12300000,4100000,Approved,48
3144,1,Graduate,Yes,500000.0,1400000.0,20,732,400000,100000,300000,0,Approved,40
3145,2,Not Graduate,Yes,20250000.0,86450000.0,20,445,5500000,14300000,27300000,6500000,Approved,58
3146,1,Not Graduate,Yes,22250000.0,80150000.0,20,607,8200000,11600000,17800000,7800000,Approved,50
3147,5,Graduate,Yes,10500000.0,29750000.0,20,300,8700000,4600000,10500000,6000000,Rejected,40
3148,5,Not Graduate,Yes,10250000.0,38850000.0,20,606,1700000,3000000,10800000,3000000,Approved,59
3149,3,Not Graduate,No,20750000.0,89950000.0,20,303,24000000,14600000,20400000,5700000,Rejected,62
3150,3,Not Graduate,No,18750000.0,88200000.0,20,300,1000000,800000,18300000,9000000,Rejected,57
3151,3,Graduate,No,5250000.0,26950000.0,20,553,700000,4000000,8200000,1300000,Approved,64
3152,3,Graduate,No,3500000.0,11200000.0,20,603,2200000,2000000,3600000,2000000,Approved,66
3153,0,Not Graduate,No,17250000.0,82250000.0,20,471,7800000,7300000,23100000,9400000,Approved,66
3154,0,Graduate,Yes,6250000.0,31850000.0,20,702,5000000,4700000,7400000,1500000,Approved,61
3155,3,Not Graduate,Yes,9500000.0,32900000.0,20,300,7800000,2800000,14900000,5000000,Rejected,44
3156,3,Not Graduate,Yes,19250000.0,102550000.0,20,300,6800000,6100000,21900000,4200000,Rejected,52
3157,1,Not Graduate,No,8000000.0,23100000.0,20,384,8800000,2600000,6500000,1800000,Rejected,43
3158,0,Not Graduate,Yes,21500000.0,70000000.0,20,554,25400000,10000000,30800000,10300000,Approved,48
3159,3,Not Graduate,Yes,9500000.0,47950000.0,20,512,4800000,400000,12400000,5300000,Approved,40
3160,3,Graduate,No,21000000.0,108850000.0,20,449,20600000,14100000,20500000,8500000,Approved,41
3161,1,Graduate,No,4000000.0,18900000.0,20,300,4200000,2200000,4200000,1600000,Approved,58
3162,2,Not Graduate,No,19500000.0,67900000.0,20,399,18600000,13300000,24100000,6900000,Rejected,59
3163,1,Graduate,Yes,23500000.0,73500000.0,20,300,14100000,2700000,23200000,5600000,Rejected,46
3164,3,Not Graduate,Yes,24750000.0,93450000.0,20,400,22200000,15900000,36800000,6600000,Approved,49
3165,4,Not Graduate,No,6000000.0,28000000.0,20,300,-100000,200000,7600000,3000000,Rejected,60
3166,2,Graduate,Yes,18750000.0,52850000.0,20,338,19800000,0,28500000,6700000,Rejected,44
3167,5,Graduate,No,8250000.0,41300000.0,20,695,6000000,1500000,9200000,2600000,Approved,61
3168,2,Graduate,No,13750000.0,66500000.0,20,300,12500000,1000000,15200000,8100000,Approved,51
3169,5,Not Graduate,No,6000000.0,26250000.0,20,300,2600000,2900000,6100000,1300000,Rejected,63
3170,1,Not Graduate,Yes,21750000.0,96250000.0,20,665,8000000,13400000,23600000,5900000,Approved,47
3171,1,Not Graduate,No,24000000.0,91000000.0,20,300,18500000,16600000,29900000,8400000,Rejected,65
3172,0,Graduate,No,21000000.0,69300000.0,20,524,500000,12200000,27400000,10700000,Approved,64
3173,5,Not Graduate,No,23000000.0,83650000.0,20,300,5800000,15300000,35400000,10700000,Rejected,41
3174,2,Graduate,Yes,11500000.0,44100000.0,20,300,6300000,6900000,14800000,6500000,Rejected,68
3175,5,Not Graduate,No,19000000.0,61250000.0,20,360,9100000,3500000,15700000,9800000,Rejected,44
3176,4,Graduate,No,21250000.0,62300000.0,20,548,6700000,4300000,28600000,8000000,Approved,49
3177,4,Not Graduate,Yes,7750000.0,28700000.0,20,300,2900000,3800000,10800000,3100000,Rejected,47
3178,3,Graduate,Yes,12250000.0,45850000.0,20,300,5700000,4100000,16400000,3600000,Rejected,44
3179,5,Not Graduate,Yes,14500000.0,49000000.0,20,300,3900000,10400000,15100000,6800000,Rejected,67
3180,0,Not Graduate,No,14250000.0,74550000.0,20,547,3000000,6800000,20000000,5500000,Approved,47
